08070003	PR_EMS_AB_ROOM_CAPACITY PidTagAddressBookRoomCapacity
0806101f	? /* LDAP:msExchResourceDisplay */
0808101f	PR_EMS_AB_RESOURCE_METADATA /* LDAP:msExchResourceMetaData */
0809001f	PR_EMS_AB_ROOM_DESCRIPTION PidTagAddressBookRoomDescription
0c000102	PR_CONTENT_INTEGRITY_CHECK PidTagContentIntegrityCheck
0c010003	PR_EXPLICIT_CONVERSION PidTagExplicitConversion
0c02000b	PR_IPM_RETURN_REQUESTED PidTagIpmReturnRequested .ReturnRequested
0c030102	PR_MESSAGE_TOKEN PidTagMessageToken
0c040003	PR_NDR_REASON_CODE PidTagNonDeliveryReportReasonCode .NdrReasonCode
0c050003	PR_NDR_DIAG_CODE PidTagNonDeliveryReportDiagCode .NDRDiagCode
0c06000b	PR_NON_RECEIPT_NOTIFICATION_REQUESTED PidTagNonReceiptNotificationRequested .IsNotReadReceiptRequested
0c070003	PR_DELIVERY_POINT PidTagDeliveryPoint
0c08000b	PR_ORIGINATOR_NON_DELIVERY_REPORT_REQUESTED PidTagOriginatorNonDeliveryReportRequested .IsNonDeliveryReceiptRequested
0c090102	PR_ORIGINATOR_REQUESTED_ALTERNATE_RECIPIENT PidTagOriginatorRequestedAlternateRecipient
0c0a000b	PR_PHYSICAL_DELIVERY_BUREAU_FAX_DELIVERY PidTagPhysicalDeliveryBureauFaxDelivery
0c0b0003	PR_PHYSICAL_DELIVERY_MODE PidTagPhysicalDeliveryMode
0c0c0003	PR_PHYSICAL_DELIVERY_REPORT_REQUEST PidTagPhysicalDeliveryReportRequest
0c0d0102	PR_PHYSICAL_FORWARDING_ADDRESS PidTagPhysicalForwardingAddress
0c0e000b	PR_PHYSICAL_FORWARDING_ADDRESS_REQUESTED PidTagPhysicalForwardingAddressRequested
0c0f000b	PR_PHYSICAL_FORWARDING_PROHIBITED PidTagPhysicalForwardingProhibited
0c100102	PR_PHYSICAL_RENDITION_ATTRIBUTES PidTagPhysicalRenditionAttributes
0c110102	PR_PROOF_OF_DELIVERY PidTagProofOfDelivery
0c12000b	PR_PROOF_OF_DELIVERY_REQUESTED PidTagProofOfDeliveryRequested
0c130102	PR_RECIPIENT_CERTIFICATE PidTagRecipientCertificate
0c14001f	PR_RECIPIENT_NUMBER_FOR_ADVICE PidTagRecipientNumberForAdvice
0c150003	PR_RECIPIENT_TYPE PidTagRecipientType
0c160003	PR_REGISTERED_MAIL_TYPE PidTagRegisteredMailType
0c17000b	PR_REPLY_REQUESTED PidTagReplyRequested
0c180003	PR_REQUESTED_DELIVERY_METHOD PidTagRequestedDeliveryMethod
0c190102	PR_SENDER_ENTRYID PidTagSenderEntryId
0c1a001f+A	PR_SENDER_NAME PidTagSenderName
0c1b001f	PR_SUPPLEMENTARY_INFO PidTagSupplementaryInfo
0c1c0003	PR_TYPE_OF_MTS_USER PidTagTypeOfX400User .TypeOfMTSUser
0c1d0102	PR_SENDER_SEARCH_KEY PidTagSenderSearchKey
0c1e001f+A	PR_SENDER_ADDRTYPE PidTagSenderAddressType
0c1f001f+A	PR_SENDER_EMAIL_ADDRESS PidTagSenderEmailAddress
0c200003	PR_NDR_STATUS_CODE PidTagNonDeliveryReportStatusCode .NDRStatusCode
0c21001f	PR_DSN_REMOTE_MTA PidTagRemoteMessageTransferAgent .RemoteMta
0c240102	.ParticipantSID
0c250102	.ParticipantGuid
0c26001f	.ToGroupExpansionRecipients
0c27001f	.CcGroupExpansionRecipients
0c28001f	.BccGroupExpansionRecipients
0e000014	PR_CURRENT_VERSION PidTagCurrentVersion
0e01000b	PR_DELETE_AFTER_SUBMIT PidTagDeleteAfterSubmit
0e02001f+A	PR_DISPLAY_BCC PidTagDisplayBcc
0e03001f+A	PR_DISPLAY_CC PidTagDisplayCc
0e04001f+A	PR_DISPLAY_TO PidTagDisplayTo
0e05001f+A	PR_PARENT_DISPLAY PidTagParentDisplay
0e060040	PR_MESSAGE_DELIVERY_TIME PidTagMessageDeliveryTime
0e070003	PR_MESSAGE_FLAGS PidTagMessageFlags
0e080003	PR_MESSAGE_SIZE PidTagMessageSize .MessageSize32
0e080014	PR_MESSAGE_SIZE_EXTENDED PidTagMessageSizeExtended .MessageSize64
0e09000b	.UseFixedGuidForImmutableEntryID
0e0900fb	PR_PARENT_SVREID .ParentEntryIdSvrEid
0e090102	PR_PARENT_ENTRYID PidTagParentEntryId
0e0a0102	PR_SENTMAIL_ENTRYID PidTagSentMailEntryId
0e0b00fb	.ImmutableEntryIdSvrEid
0e0b0102	.ImmutableEntryId
0e0c000b	PR_CORRELATE PidTagCorrelate
0e0d0102	PR_CORRELATE_MTSID PidTagCorrelateMtsid
0e0e000b	PR_DISCRETE_VALUES PidTagDiscreteValues
0e0f000b	PR_RESPONSIBILITY PidTagResponsibility
0e100003	PR_SPOOLER_STATUS PidTagSpoolerStatus
0e110003	PR_TRANSPORT_STATUS PidTagTransportStatus
0e12000d	PR_MESSAGE_RECIPIENTS PidTagMessageRecipients
0e121102	.MessageRecipientsMVBin
0e13000d	PR_MESSAGE_ATTACHMENTS PidTagMessageAttachments
0e130102	.ItemSubobjectsBin
0e140003	PR_SUBMIT_FLAGS PidTagSubmitFlags
0e150003	PR_RECIPIENT_STATUS PidTagRecipientStatus
0e160003	PR_TRANSPORT_KEY PidTagTransportKey
0e170003	PR_MSG_STATUS PidTagMessageStatus .MsgStatus
0e180003	PR_MESSAGE_DOWNLOAD_TIME PidTagMessageDownloadTime
0e190014	PR_CREATION_VERSION PidTagCreationVersion
0e1a0014	PR_MODIFY_VERSION PidTagModifyVersion
